# Term register export from the tracker sheet. GENERATED by export-tracker.py — do not edit.
# term	published	status	note	flag
Transfer Learning	no	covered	COVERED by Fine-tuning — triaged Sep 8 2026. That entry's technical definition explains the mechanism directly: continued training of an EXISTING model on a smaller targeted dataset, sitting between prompting and pre-training. Transfer learning is the general-ML name for the same move, and in this corpus's scope fine-tuning is the form a reader will meet. Folded by alias.	N/A
Class Imbalance	no	declined	DECLINED on scope, Sep 8 2026 — a statistical technique, well-defined elsewhere, adding no distinctive governance or literacy insight of its own. The consequence a reader needs is already held: unrepresentative samples are named in Bias (AI Systems) as a source of statistical bias. Row kept so the decision stays visible.	N/A
Cross-Validation	no	covered	COVERED by Data Leakage (Model Evaluation) — triaged Sep 8 2026. LEAST CERTAIN OF THIS BATCH'S FOLDS, recorded as such. That entry's technical definition explains what makes a split valid and how information reaches training through it — which is the governance content of cross-validation — but it does not describe k-fold rotation itself. Revisit if a reader arrives wanting the technique rather than the reason for it.	N/A
Statistical Significance	no	declined	DECLINED on scope, Sep 8 2026 — textbook statistics, well-defined elsewhere. The AI-specific consequence, that small benchmark deltas are routinely over-read, belongs inside AI Benchmarking rather than in an entry of its own. Reconsider only if that entry proves unable to carry it.	N/A
False Negative	no	covered	COVERED by False Positives and False Negatives — folded Sep 8 2026 into the consolidated entry, which was written to cover both ends because they are one trade rather than two topics. This row was queued separately by the vocabulary check and could not be folded before that entry existed: `covered` requires a published target to carry the alias.	N/A
Pseudonymization	no	covered	COVERED by Anonymization and Pseudonymization — folded Sep 8 2026. The consolidated entry defines this term directly and exists precisely to separate it from its twin: pseudonymized data is still personal data, which is the single most common misunderstanding in the pair. Queued separately by the vocabulary check; folded once the target was published.	N/A
Data Retention	no	covered	COVERED by Data Minimization — triaged Sep 8 2026. That entry's technical definition names retention as one of the four axes minimization operates along ("delete when the purpose is fulfilled"), and states its GDPR Article 5(1)(c) basis. The term is explained there rather than merely mentioned. Folded by alias.	N/A
Sampling Bias	no	covered	COVERED by Bias (AI Systems) — triaged Sep 8 2026. That entry's technical definition names unrepresentative samples as the first mechanism of statistical/computational bias, and the whole entry is about systematic rather than random error. Folded by alias, together with Selection Bias.	N/A
Selection Bias	no	covered	COVERED by Bias (AI Systems) — triaged Sep 8 2026. Same fold as Sampling Bias: the entry defines bias as structured deviation arising from the data and modeling pipeline, which is what this term names. Kept as a separate row because the two are distinct in the literature and a reader may search either.	N/A
Model Inversion	no	covered	COVERED by Privacy Attacks (AI Models) — folded Sep 8 2026. The consolidated entry defines this attack directly (Fredrikson et al., SRC-293) and uses it for its central mitigation: confidence scores are the leak, so returning less precision is the cheapest defense. Queued separately by the vocabulary check; folded once the target existed.	N/A
Model Extraction	no	covered	COVERED by Privacy Attacks (AI Models) — folded Sep 8 2026. ⚠️ This was the doubtful one at triage, because extraction's victim is the MODEL OWNER rather than the data subject, and the earlier note said so. NIST's own definition settles it by covering information about the model as well as the training data, and the entry keeps the victim-shift as an explicit point rather than smoothing it away.	N/A
A/B Testing	no	declined	DECLINED on scope, Sep 8 2026 — general experimentation practice, well-defined elsewhere. Evaluation (AI Systems) already covers production measurement including sampling and spot-check pipelines. ⚠️ One idea does NOT survive this decline: that a probabilistic system resists clean A/B comparison. If that proves worth stating, it belongs inside Evaluation.	N/A
Canary Deployment	no	declined	DECLINED on scope, Sep 8 2026 — a general deployment practice with no AI-specific content of its own. Model Version & Update holds what a reader actually needs here: pinning, staged change and the ability to revert.	N/A
Disaster Recovery	no	declined	DECLINED on scope, Sep 8 2026 — general IT continuity practice, well-defined elsewhere and not AI-specific. Operational Readiness (AI) already carries the part that matters here: whether there is a path to revert a bad change.	N/A
Vendor Lock-in	no	covered	COVERED by AI Gateway — triaged Sep 8 2026. That entry defines the term's practical content outright: applications addressed to a gateway rather than a vendor SDK make switching a configuration change instead of a rewrite, and it says in terms that this is what avoiding lock-in concretely means. Folded by alias.	N/A
Total Cost of Ownership	no	covered	COVERED by Value Realization (AI) — triaged Sep 8 2026. That entry's technical definition is built on the complementary intangible investments that standard accounting misses, and the J-curve they produce — which is the substance of a total-cost argument. ⚠️ A judgment call: TCO is narrower and more procedural. If a procurement reader needs the checklist rather than the economics, revisit.	N/A
Redress	no	covered	COVERED by Automated Decision-Making — folded Sep 8 2026. Redress is not a separate concept in this context but the name for Article 22's three named safeguards, which that entry quotes and explains. Queued separately by the vocabulary check and flagged then as likely one entry with Automated Decision-Making; folded once it was published.	N/A
Change Management	no	declined	DECLINED on scope, Sep 8 2026 — a general organizational discipline, well-defined elsewhere, with no AI-specific content of its own. The AI-specific parts are already held: Value Realization (AI) for why adoption stalls, AI Literacy for capability building, Shadow AI for unsanctioned use.	N/A
Context Rot	yes	emerging	PUBLISHED v1.33, Sep 9 2026 as `emerging`. Every claim in the original note held up EXCEPT one, and the note's own instruction is what caught it: the widely repeated "accuracy drops by more than 30 points" figure attributed to Liu et al. IS NOT IN THAT PAPER'S ABSTRACT and was not verifiable — the entry quotes the qualitative finding verbatim instead and states in its Confidence section that the number was omitted rather than repeated. ⭐ THE ENTRY'S ORGANISING DISTINCTION: the context window is a CAPACITY and this is about non-uniform use INSIDE it — the window tells you the text fits and nothing about whether the model will attend to it, with no error, no truncation notice, no flag. Registered SRC-342 (Timothy B. Lee, Understanding AI) specifically as check-2 evidence of independent adoption, which is what separates this term from Context Anxiety. ⚠ The name is a bad metaphor and the entry says so: nothing decays over time; the dependence is on length and position within a single forward pass.	X
Context Anxiety	yes	emerging	PUBLISHED v1.33, Sep 9 2026 as `emerging` — A DELIBERATE DEPARTURE FROM THIS ROW'S OWN RECOMMENDATION, which said watch item, not draft candidate. The evidence was RE-TESTED rather than inherited and the verdict did not improve: independent use is still commentary on a single Cognition observation. It was published anyway, with that limitation stated in the term-status line, the Confidence section, and the literacy notes — because the BEHAVIOUR is specific, consequential, and routinely confused with Context Rot, which the entry now disambiguates in a side-by-side table (rot degrades the ANSWER; anxiety truncates the TASK). ⭐ TWO FINDINGS THE RE-TEST ADDED: (1) a NAME COLLISION — "AI anxiety" is an established term in psychology for HUMAN apprehension toward AI, with its own 2026 peer-reviewed literature, so the entry warns against the confusion; (2) the name is anthropomorphism — a word for a feeling naming a miscalibrated internal estimate, and the corpus already has an entry on that hazard. ⚠ RETIREMENT CONDITION WRITTEN INTO THE ENTRY: if no second group reports it in a different model family, fold the content into Context Window and retire the term.	X
Open Source AI	yes	established	PUBLISHED v1.37, Sep 9 2026 as `established` — drafted the same day the term was added, which is why the gate fired. ⭐ CHECK 1 HELD ON RE-TEST: the OSI page was fetched again at drafting and the four freedoms plus the three preferred-form elements were read from it directly (SRC-359), not carried over from this row. ⭐ THE ENTRY'S ORGANISING DISTINCTION, as this row predicted: open weights is not open source, because parameters are ONE of three required elements. ⭐ THE FINDING THE ROW DID NOT PREDICT, and the sharpest thing in the entry: DATA INFORMATION IS NOT THE DATA. OSAID does not require publishing the training set - it requires a description detailed enough that a skilled person could build a substantially equivalent system, and explicitly allows unshareable data to be DESCRIBED rather than released. That compromise is why the definition shipped and why both camps reject it, and it reframes the whole dispute. ⭐ SECOND SOURCE FOUND AT DRAFTING: Liesenfeld & Dingemanse (SRC-360, FAccT 2024) supplies the conceptual spine this row lacked - openness is COMPOSITE and GRADIENT, 14 dimensions across 45+ systems, many models 'open weight' at best - and it is what lets the entry say that judging by license alone is a category error. ⚠️ THE ENTRY CITES NO STATUTORY PROVISION: every EUR-Lex endpoint, including the archived copy, returned an empty body at drafting time, so the regulatory-consequence point rests on the peer-reviewed premise in SRC-360 and NO article number is stated. Do not add one without reading the text. ⚠️ The entry documents the dispute and declines to adjudicate it, with SRC-361's 'negotiated sociotechnical project' conclusion as the published warrant for that posture - the same shape as Dangerous Capability, where the term cleared and the threshold was left open.	X
